P Serial Parallel
1 16.8 28.1
2 16.8 18.5
3 16.8 12.9
4 16.8 13.2
5 16.8 12.5
6 16.8 13.57
7 16.8 12.05
8 16.8 11.05
9 16.8 11.58
10 16.8 10.89
