P Serial Parallel
1 3.37 3.62
2 3.37 2.24
3 3.37 1.50
4 3.37 1.44
5 3.37 1.52
6 3.37 2.26
7 3.37 1.51
8 3.37 2.36
9 3.37 2.20
10 3.37 1.78
