P Serial Parallel
1 0.364 0.385
2 0.364 0.256
3 0.364 0.276
4 0.364 0.562
5 0.364 0.337
6 0.364 0.529
7 0.364 1.00
8 0.364 0.908
9 0.364 0.81
10 0.364 1.01
